,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_name,GO,notes
TCONS_00001534,1379.097147,0.497426795,0.10307879,4.825694937,1.40E-06,0.000264313,No Change,,,
TCONS_00003755,3593.2982,0.51481164,0.141529374,3.637489699,0.000275308,0.01390857,No Change,,,
TCONS_00000199,1304.827225,0.52402663,0.106204959,4.934107001,8.05E-07,0.000179461,No Change,,,
TCONS_00001685,1534.49005,0.559086784,0.114816308,4.869402194,1.12E-06,0.000235626,No Change,,,
TCONS_00003748,1997.098901,0.584535481,0.180363696,3.240871056,0.001191651,0.036981075,No Change,,,
TCONS_00002620,402.6052926,0.584560178,0.10496085,5.569316334,2.56E-08,9.69E-06,No Change,,,
TCONS_00002015,185.6269989,0.591942421,0.175203275,3.378603627,0.00072855,0.027872073,No Change,,,
TCONS_00002721,1502.271829,0.625013013,0.166667804,3.750052487,0.000176798,0.010222816,No Change,,,
TCONS_00002888,232.8849331,0.648459522,0.183001598,3.543463716,0.000394908,0.017791743,No Change,,,
TCONS_00003591,360.3686619,0.699068593,0.186237514,3.753640069,0.000174285,0.010222816,No Change,,,
TCONS_00000758,5722.549589,0.726232403,0.217294302,3.342160364,0.00083129,0.029164431,No Change,,,
TCONS_00003931,4172.328035,0.729396272,0.147334546,4.950612679,7.40E-07,0.000175194,No Change,,,
TCONS_00004205,1817.989331,0.730382159,0.170014528,4.295998512,1.74E-05,0.002272208,No Change,,,
TCONS_00001676,600.9044768,0.745862956,0.232691961,3.20536624,0.001348907,0.039620229,No Change,,,
TCONS_00003191,1657.767968,0.791421748,0.140739457,5.623311092,1.87E-08,7.89E-06,No Change,,,
TCONS_00001645,2585.93434,0.7977828,0.113669596,7.01843611,2.24E-12,4.25E-09,No Change,,,
TCONS_00001286,417.0423859,0.852025803,0.137877661,6.179578309,6.43E-10,4.87E-07,No Change,,,
TCONS_00003375,3662.351273,0.88394313,0.115842651,7.630549934,2.34E-14,8.86E-11,No Change,,,
