"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCONS_00003448",3259.46421685939,-0.423840159858009,0.130200121298456,-3.25529773421981,0.00113273549027716,0.0444183344374582
"TCONS_00003449",1973.40033634346,-0.530346228819886,0.150565329368752,-3.52236621168615,0.000427712863996571,0.026896864409856
"TCONS_00003469",8475.58595151948,-0.361507224505883,0.10537878129334,-3.43055043974713,0.000602357973542153,0.0319993377796529
"TCONS_00003470",1344.52748225192,1.79302314547234,0.554589195748944,3.23306540988588,0.00122469517930205,0.0462268715485678
"TCONS_00003489",4602.7030517392,-0.332603359469725,0.0853907695907557,-3.89507391798624,9.81687877280198e-05,0.0105605073398417
"TCONS_00003525",3705.28774247421,-0.319561498475126,0.084021606431698,-3.80332526413787,0.000142766705644225,0.012286502687742
"TCONS_00001635",8299.51689373712,0.342495231647662,0.0873603741528229,3.92048723427536,8.83701174330764e-05,0.00975016962344943
"TCONS_00001636",1091.69787818306,-0.219579616084453,0.066396885787344,-3.30707703351815,0.000942749628718468,0.039771094631133
"TCONS_00003595",5262.29894947389,0.48004323802736,0.136597981083916,3.51427769442988,0.000440951581687216,0.026896864409856
"TCONS_00003596",19389.6484239567,0.420328336901214,0.129352237549724,3.24948640134375,0.00115613605786552,0.0444183344374582
"TCONS_00001687",6414.20123893286,-0.552164048914573,0.156241667635006,-3.53403837319809,0.000409261655806748,0.026896864409856
"TCONS_00001697",2338.39529557725,-0.290430162554225,0.0819236491710028,-3.54513215040016,0.000392416292064452,0.026717507111811
"TCONS_00001712",2090.90835013563,0.325921048334703,0.0955731967412602,3.41017209267416,0.000649219001223657,0.0327587226057304
"TCONS_00001761",4755.0667621839,-0.594838914149191,0.172620810746862,-3.44592816807868,0.000569101613012125,0.0313954389845022
"TCONS_00003696",821.109236172118,-0.455419125143803,0.0828725253328041,-5.49541748987262,3.89787159802173e-08,8.38627074314375e-05
"TCONS_00001768",1197.37399908198,-0.557294200246999,0.13702231856925,-4.06717829669002,4.75858344327164e-05,0.00660522082464448
"TCONS_00003712",970.704294438951,-0.305887261359999,0.079837875075096,-3.8313552442657,0.000127439344803326,0.0113737660602704
"TCONS_00003716",5704.75714877397,-0.333169910607704,0.100078026612505,-3.3291015209334,0.000871266397190609,0.0378692859304161
"TCONS_00001779",1967.31252858429,-0.33732779300856,0.0874769915261132,-3.85618877745541,0.000115168561559521,0.0113737660602704
"TCONS_00001789",2901.90520484277,-0.380550587589577,0.0924203561044266,-4.11760572702824,3.82828915415398e-05,0.00549104274344152
"TCONS_00001791",66484.654934667,-0.314746463680234,0.0857195041335001,-3.67181853023842,0.000240830670569886,0.0188417159174949
"TCONS_00001814",4441.91236741099,-0.462699865778464,0.131068366528617,-3.53021768740394,0.000415217879244996,0.026896864409856
